url,property_type,total_price,price_per_m2,area,location,date
https://www.nhatot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/126301029.htm#px=SR-stickyad-[PO-1][PL-top],"8 PN • Nhà mặt phố, mặt tiền",92 tỷ,594 tr/m²,155 m²,Quận Tây Hồ • 6 giờ trước • Tin ưu tiên,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/126231924.htm#px=SR-stickyad-[PO-1][PL-top],2 PN • Chung cư,"5,05 tỷ",66 tr/m²,77 m²,Huyện Gia Lâm • 5 giờ trước • Tin ưu tiên,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/126334959.htm#px=SR-stickyad-[PO-1][PL-top],"3 PN • Nhà ngõ, hẻm","6,65 tỷ",185 tr/m²,36 m²,Quận Hoàng Mai • 19 giờ trước • Tin ưu tiên,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/126022452.htm#px=SR-stickyad-[PO-1][PL-top],4 PN • Hướng Tây Bắc • Nhà phố liền kề,"26,5 tỷ",282 tr/m²,94 m²,Quận Long Biên • 2 giờ trước • Tin ưu tiên,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/126064652.htm#px=SR-stickyad-[PO-1][PL-top],3 PN • Hướng Đông Bắc • Chung cư,100 triệu,2 tr/m²,51 m²,Quận Long Biên • 6 giờ trước • Tin ưu tiên,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/126351111.htm,3 PN • Hướng Tây Bắc • Chung cư,"9,05 tỷ",75 tr/m²,120 m²,Quận Cầu Giấy • 3 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/126351101.htm,Đất thổ cư,"1,4 tỷ",40 tr/m²,35 m²,Huyện Thanh Trì • 4 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/126217373.htm,Đất thổ cư • Ngang 4 m,"4,2 tỷ",93 tr/m²,45 m²,Huyện Đông Anh • 4 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126351057.htm,"4 PN • Nhà ngõ, hẻm","11,9 tỷ",186 tr/m²,64 m²,Quận Thanh Xuân • 5 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/126351023.htm#px=SR-special_display_ad-[PO-1][PL-default],"3 PN • Nhà ngõ, hẻm",7 tỷ,250 tr/m²,28 m²,Quận Đống Đa • 6 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-dat-quan-bac-tu-liem-ha-noi/125369580.htm,Đất thổ cư • Ngang 5.2 m,"8,2 tỷ",137 tr/m²,60 m²,Quận Bắc Từ Liêm • 6 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/126350977.htm#px=SR-special_display_ad-[PO-1][PL-default],"3 PN • Nhà ngõ, hẻm","7,5 tỷ",197 tr/m²,38 m²,Quận Long Biên • 8 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-huyen-dan-phuong-ha-noi/126241712.htm#px=SR-special_display_ad-[PO-1][PL-default],"5 PN • Hướng Đông Nam • Nhà ngõ, hẻm","4,8 tỷ",160 tr/m²,30 m²,Huyện Đan Phượng • 10 phút trước,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/126310058.htm,"4 PN • Nhà ngõ, hẻm","8,4 tỷ",280 tr/m²,30 m²,Quận Tây Hồ • 10 phút trước,2025-07-14
