link,Loại hình nhà ở,Số phòng ngủ,Hướng nhà,Giá(tỷ đồng),Giá/m²(triệu đồng),Diện tích,Vị trí,Ngày
https://www.nhatot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/126301029.htm#px=SR-stickyad-[PO-1][PL-top],"Nhà mặt phố, mặt tiền",8,Chưa xác định,92.0,594.0,155.0,Tây Hồ,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/126231924.htm#px=SR-stickyad-[PO-1][PL-top],Chung cư,2,Chưa xác định,5.05,66.0,77.0,Gia Lâm,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/126334959.htm#px=SR-stickyad-[PO-1][PL-top],"Nhà ngõ, hẻm",3,Chưa xác định,6.65,185.0,36.0,Hoàng Mai,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/126022452.htm#px=SR-stickyad-[PO-1][PL-top],Nhà phố liền kề,4,Tây Bắc,26.5,282.0,94.0,Long Biên,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/126064652.htm#px=SR-stickyad-[PO-1][PL-top],Chung cư,3,Đông Bắc,0.1,2.0,51.0,Long Biên,2025-07-14
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/126351111.htm,Chung cư,3,Tây Bắc,9.05,75.0,120.0,Cầu Giấy,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/126351101.htm,Đất thổ cư,0,Chưa xác định,1.4,40.0,35.0,Thanh Trì,2025-07-14
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/126217373.htm,Đất thổ cư,0,Chưa xác định,4.2,93.0,45.0,Đông Anh,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/126351057.htm,"Nhà ngõ, hẻm",4,Chưa xác định,11.9,186.0,64.0,Thanh Xuân,2025-07-14
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/126351023.htm#px=SR-special_display_ad-[PO-1][PL-default],"Nhà ngõ, hẻm",3,Chưa xác định,7.0,250.0,28.0,Đống Đa,2025-07-14
